名前,ロマン枠（盾/鎧/靴/アクセ）,現実枠（盾/鎧/靴/アクセ）,ユーザーハルシネーションチェック
プリシラ,さるのぬいぐるみ;愛らしさ重視 / エルフのマント;柔らかい印象 / シークレットシューズ;可憐さ / ハートのペンダント;恋愛系イメージ,スモールシールド;小柄で違和感なし / シャツ;日常感 / レザーブーツ;実用的 / シルバーペンダント;上品,
スカーレット,ラウンドシールド;丸く守る騎士風アイコン / 竜のマント;豪胆さ演出 / スパイクシューズ;攻撃的見た目 / クリティカルリング;切れ味演出,安物の盾;素朴な騎士感 / かたびら;実用的騎士服 / ヘヴィブーツ;重厚感 / 銅の腕輪;地味に合う,盾装備不可
ルーシー,戦士の盾;漁師出身の守り感 / スケイルベスト;魚・鱗イメージ / フェザーブーツ;軽快さ / アクアマリンの指輪;釣り・水イメージ,ラウンドシールド;丸く親しみやすい / ベスト;普段着感 / シルバーブーツ;標準 / お守り;素朴,
フーカ,ボーンブーツ;ワイルドで獣感 / パワードプロテクター;豪快さ演出 / ボーンブーツ（同）;獣足感 / 毛糸のマフラー;もふもふ感,スモールシールド;小さめで違和感なし / サラシ;簡素 / レザーブーツ;実用 / がんばり屋の軍手;素朴,盾装備不可
ルドミラ,マジカルシールド;魔女っぽい豪華さ / エルフのマント;妖艶さ / フェアリーブーツ;優雅さ / 魔女のピアス;魔女イメージ,ラウンドシールド;控えめ / キンキラのシャツ;豪華さ抑えめ / シルバーブーツ;上品 / アメジストの指輪;地味に合う,
ベアトリス,グレートシールド;お嬢様の威厳 / 竜のマント;貴族的ドラマ / ゴールドブーツ;華やか / ダイヤモンドの指輪;高貴さ,スモールシールド;控えめ貴族感 / ベスト;上品 / シルバーブーツ;安定感 / 金の腕輪;見た目合う,
マーティン,タートルシールド;鍛冶職人の重厚感 / パワードプロテクター;鍛冶屋の力強さ / ボーンブーツ;職人の頑丈さ / 鋼鉄の極意（アクセ）;鍛冶演出,アイアンシールド;現実的鍛冶感 / くさりかたびら;職人の鎧感 / ヘヴィブーツ;重厚 / 銅の腕輪;素材感,
ラインハルト,アイアンシールド（初期装備）;騎士の象徴 / ジェネラルローブ;将軍風演出 / ナイトブーツ;騎士靴 / シールドリング;騎士らしい指輪,アイアンシールド;初期維持 / かたびら;実用騎士服 / ヘヴィブーツ;重厚 / 皮のベルト;現実的,
セシル,さるのぬいぐるみ;探偵の可愛らしさ演出 / ジェネラルローブ（小型）;ミステリアス / スニーキングブーツ;探偵っぽさ / 集中のイヤリング;知的演出,スモールシールド;控えめ / シャツ;普段着 / シークレットシューズ;探偵っぽく / 安物の腕輪;控えめ,
むらくも,グレートシールド;豪快な大将感 / 竜のマント;豪快さ演出 / ヘヴィブーツ;豪快さ / チャンピオンベルト;好物演出,安物の盾;素朴 / かたびら;旅館主人らしく / レザーブーツ;実用 / 皮のベルト;現実的,
ルーカス,プリズムシールド;神秘的で神格感 / 竜のマント;伝説感 / フェアリーブーツ;神秘的 / ホーリーアミュレット;神の象徴,マジックシールド;魔力演出 / ジェネラルローブ;威厳 / シルバーブーツ;上品 / 太陽のペンダント;象徴的,
リュカ,ラウンドシールド;若者の守り感 / モコモコのシャツ;カジュアル / スニーカー代替（シークレット）;軽快 / 幸せの指輪;親しみ,盾可ならスモールシールド;控えめ / シャツ;普段着 / レザーブーツ;実用 / がんばり屋の軍手;素朴,盾装備不可
レディア,ボーンシールド;古龍に近い重厚さ / 竜のマント;闇の古神龍イメージ / プラチナシールド改（靴代替）;圧のある足元 / 闇の指輪;闇演出,ボーンシールド;重厚で合う / プラチナかたびら;豪華だが現実寄り / ボーンブーツ;硬質感 / 闇の指輪;イメージ維持,
マーガレット,エルフのマント;エルフらしい優雅さ / エメラルドの指輪;風のイメージ / フェアリーブーツ;優雅 / 星のペンダント;恋愛演出,スモールシールド;小さめ / ベスト;エルフ風簡素 / シルバーブーツ;上品 / エメラルドの指輪;現実寄り,ロマン膜に盾がない
ドグ,ウォーハンマー向けにグレートシールド;鍛冶屋の重厚感 / パワードプロテクター;鍛冶屋の力強さ / ヘヴィブーツ;鍛冶屋感 / ダイヤモンドの指輪;職人の誇り,アイアンシールド;実用 / くさりかたびら;職人感 / ヘヴィブーツ;実用 / 銅の腕輪;素材感,
パルモ,ラウンドシールド;大工の守り感 / 傭兵のマント;職人の風格 / テツゲタシューズ;職人靴 / シールドリング;実用的,安物の盾;実用 / かたびら;作業着感 / レザーブーツ;作業向け / 皮のベルト;現実的,盾装備不可
ランドルフ,ラウンドシールド;元冒険者の風格 / 傭兵のマント;旅人感 / ストライダーブーツ;旅人向け / 手編みのマフラー;温かみ,アイアンシールド;元冒険者らしく / かたびら;実用 / レザーブーツ;旅向け / お守り;控えめ,
ユキ,ピヨピヨサンダル;可憐で軽やか / モコモコのシャツ;温かみ / ピヨピヨサンダル;軽快 / 雫のペンダント;水イメージ,スモールシールド;控えめ / シャツ;普段着 / レザーブーツ;実用 / アクアマリンの指輪;現実寄り,加入不可
テリー,シルバーペンダント中心（アクセ重視）;ペンダント商人イメージ / 傭兵のマント（軽）;旅商人感 / シークレットシューズ;商人の軽快さ / 太陽のペンダント;明るさ,スモールシールド;控えめ / ベスト;商人服 / シルバーブーツ;標準 / シルバーペンダント;現実的,ロマン枠に盾がない
ハインツ,グレートシールド系;クリスタル店主の重厚感 / ルーンベスト;クリスタル店主らしさ / シルバーブーツ;上品 / アクアマリンブローチ;宝石店主,アイアンシールド;実用 / ジェネラルローブ（小）;店主感 / シルバーブーツ;現実 / 金の腕輪;宝石感,
ジュリアン,スモールシールド;子供らしい小ささ / シャツ;元気な少年服 / シークレットシューズ;遊びやすさ / 幸せの指輪;無邪気さ,盾可ならスモールシールド / シャツ / レザーブーツ / 安物の腕輪,盾装備不可
ひな,盾不可（双剣）;— / 竜のマント（小）;守護者血統の演出 / スニーキングブーツ;素早さ演出 / チャンピオンベルト;成長感,盾不可 / ベスト;実用 / シークレットシューズ;軽快 / チャンピオンベルト;現実寄り,
エルシェ,マジカルシールド;料理人の魔女っぽさ / モコモコのシャツ;温かみ / フェアリーブーツ;柔らかさ / 手編みのマフラー;家庭的,スモールシールド;控えめ / シャツ;普段着 / レザーブーツ;実用 / 手編みのマフラー;現実的,
みささぎ,グレートシールド;店主の威厳 / 傭兵のマント;店の看板感 / ツーハンド向けブーツ（重）;力強さ / イルカのブローチ;店の看板,ラウンドシールド;控えめ / ベスト;店主服 / ヘヴィブーツ;実用 / アクアマリンの指輪;現実寄り,
シモーヌ,トライデントシールド；槍使いに似合う海・毒耐性の意匠でミステリアスさを演出 / エンチャントローブ；薬や毒に強そうな魔術的外観 / スニーキングブーツ；静かに動く探偵・薬師イメージ / ハーブのブローチ；薬草師らしいワンポイント,ラウンドシールド；控えめで実用的、槍との相性良し / シンプルローブ＋エプロン；薬師・調合師の現実的装い / レザーブーツ；日常的で動きやすい / 小さな薬瓶ペンダント；職業を示す実用的アクセ,不足分を補ってもらったがロマン枠が存在しない装備ばっかり
ダグ,ギガントシールド；鍛冶屋／豪腕の重厚感を一目で示す大型盾 / ファイアフォージアーマー；鍛冶場の熱と力を象徴する重装見た目 / スチールトゥブーツ；鍛冶職人らしい頑丈な足元演出 / 鍛冶のハンマーペンダント；職人の誇りを象徴するアクセ,アイアンシールド；入手しやすく鍛冶屋の実用感を損なわない / くさりかたびら；制作コスト低めで職人感を出せる鎧 / ヘヴィブーツ；重厚で現実的な作業靴 / 銅の腕輪；素材感が出て現実枠に合う,不足分を補ってもらったがロマン枠が存在しない装備ばっかり
