名前,区分,盾,鎧,靴,アクセ,理由,ユーザーハルシネーションチェック
プリシラ,ロマン,マジックシールド,エルフのマント,フェアリーブーツ,ハートのペンダント,癒し系ヒロイン＋杖使いなので優しい魔法少女感,
ルーシー,ロマン,カイトシールド,パワードプロテクター,ストライダーブーツ,クリティカルリング,活発スポーツ少女、俊敏アタッカー感,
ベアトリス,ロマン,プラチナシールド,ロイヤルガーター,ゴールドブーツ,ダイヤモンドの指輪,王族らしい高貴さ重視,
ルドミラ,ロマン,カーズシールド,竜のマント,ゴーストブーツ,闇の指輪,妖艶・闇属性・危険な雰囲気,
スカーレット,ロマン,なし,四幻竜のベスト,ナイトブーツ,勇気のバッヂ,SEED隊員で騎士感と正義感,
フーカ,ロマン,なし,もこもこのシャツ,フェアリーブーツ,もこもこのマフラー,獣人幼さ・かわいさ全振り,
リュカ,ロマン,なし,カーズシールド風なし(盾不可)→ジェネラルローブ,ゴーストブーツ,奇妙なペンダント,中二病・邪気眼ネタ,鎧のカーズシールドは何？
レディア,ロマン,ヘヴィシールド,竜のマント,ゴーストブーツ,闇の指輪,闇の古神龍設定に最も一致,
マーティン,ロマン,グレートシールド,かたびら,ヘヴィブーツ,鋼鉄の極意,鍛冶職人・無骨,
セシル,ロマン,マジックシールド,ルーンベスト,シルバーブーツ,幸せの指輪,少年探偵＋知性枠,
むらくも,ロマン,ヘヴィシールド,四幻竜のベスト,ヘヴィブーツ,チャンピオンベルト,豪快・筋肉・温泉番頭,
ラインハルト,ロマン,アイアンシールド,ロイヤルガーター,ナイトブーツ,勇気のバッヂ,王国騎士の完成形,
ルーカス,ロマン,カオスシールド,ルーンベスト,フェアリーブーツ,賢者の証,神格・哲学者っぽさ,
ハインツ,ロマン,タートルシールド,ラメラーベスト,ゴールドブーツ,ゴールドリング,商人＋金ピカ趣味,
ランドルフ,ロマン,ボーンシールド,傭兵のマント,ナイトブーツ,豪傑の証,元凄腕冒険者,
シモーヌ,ロマン,マジックシールド,ルーンベスト,シルバーブーツ,ホーリーアミュレット,医者＋母性＋神聖感,
みささぎ,ロマン,カイトシールド,エルフのマント,フェアリーブーツ,水の指輪,九尾＋和風＋神秘,
テリー,ロマン,ラウンドシールド,傭兵のマント,スニーキングブーツ,テツヤリング,探偵・情報屋・裏稼業感,
ドグ,ロマン,グレートシールド,パワードプロテクター,ヘヴィブーツ,チャンピオンベルト,鍛冶屋の豪腕枠,
ジュリアン,ロマン,なし,もこもこのシャツ,ピヨピヨサンダル,勇気のバッヂ,少年リーダー感,
ひな,ロマン,なし,もこもこのシャツ,フェアリーブーツ,イルカのブローチ,子供らしい元気さ,
エルシェ,ロマン,なし,ロイヤルガーター,フェアリーブーツ,幸せの指輪,お嬢様＋料理＋金策女王,
パルモ,ロマン,なし,ロイヤルガーター,ゴールドブーツ,ダイヤモンドブローチ,芸術家・派手好き,
ダグ,ロマン,ディフェンダー系で合うためヘヴィシールド,エルフのマント,ナイトブーツ,チャンピオンベルト,RF4補正＋ドワーフ戦士,
マーガレット,ロマン,マジックシールド,エルフのマント,フェアリーブーツ,風の指輪,エルフ＋風属性＋吟遊詩人,
プリシラ,現実,マジックシールド,ルーンベスト,シルバーブーツ,ハートのペンダント,低コストでも魔法系ヒロイン感維持,
ルーシー,現実,カイトシールド,かたびら,ストライダーブーツ,クリティカルリング,俊敏物理系,
ベアトリス,現実,プラチナシールド,プリティかたびら,ゴールドブーツ,シルバーリング,王女感を安価寄りに,プリティかたびらとは何？
ルドミラ,現実,カーズシールド,エルフのマント,ゴーストブーツ,闇の指輪,闇属性イメージ維持,
スカーレット,現実,なし,パワードプロテクター,ナイトブーツ,勇気のバッヂ,SEED感優先,
フーカ,現実,なし,もこもこのシャツ,ピヨピヨサンダル,もこもこのマフラー,かわいさ重視,
リュカ,現実,なし,ジェネラルローブ,ゴーストブーツ,奇妙なペンダント,中二ネタ維持,
レディア,現実,ヘヴィシールド,パワードプロテクター,ゴーストブーツ,闇の指輪,古神龍感を低コスト寄せ,
マーティン,現実,グレートシールド,かたびら,ヘヴィブーツ,鋼鉄の極意,初期装備との親和性高,
セシル,現実,マジックシールド,ルーンベスト,シルバーブーツ,幸せの指輪,知性系少年,
むらくも,現実,ヘヴィシールド,ラメラーベスト,ヘヴィブーツ,チャンピオンベルト,豪快兄貴感,
