住民名,部位,ロマン枠（外見重視）,現実枠（低コスト/初期）,選定理由・センスのポイント,ユーザーハルシネーションチェック
プリシラ,盾,マジックシールド,スモールシールド,優しい色合いの彼女には、魔法使いらしさと可愛さを両立する装飾盾が似合います 。,
プリシラ,その他,ルーンベスト/フェアリーブーツ/ハートのペンダント,シャツ/レザーブーツ/お守り,清楚な学生・見習いとしての清潔感と、恋する乙女のイメージを優先しました 。,
スカーレット,盾,（装備不可：双剣）,（装備不可：双剣）,双剣使いのため盾は除外 。,
スカーレット,その他,四幻竜のベスト/ロケットウィング/太陽のペンダント,プロテクター/スニーキングブーツ/勇気のバッヂ,正義感の強さと署員としての機動力を、太陽や翼の意匠で表現しました 。,
ルーシー,盾,ブルーシールド,ラウンドシールド,釣りと運動が好きな彼女には、青い海を想起させる盾や活動的な丸盾が最適です 。,
ルーシー,その他,風のマント/ストライダーブーツ/イルカのブローチ,ベスト/スニーカー/がんばり屋の軍手,風を切って走るイメージと、彼女の趣味（釣り）を反映しました 。,
フーカ,盾,（装備不可：拳）,（装備不可：拳）,拳使いのため盾は除外 。,
フーカ,その他,ロイヤルガーター/フェアリーブーツ/エメラルドの指輪,サラシ/ピヨピヨサンダル/幸運の指輪,野生的な魅力と大好きな「キラキラした宝石」をアクセントにしました 。,
ルドミラ,盾,マジカルシールド,カオスシールド,サキュバスとしての妖艶さと、闇属性・魔法特化のイメージを盾の紋様に重ねました 。,
ルドミラ,その他,ロイヤルガーター/ゴーストブーツ/魔女のピアス,風のマント/レザーブーツ/ポイズンリング,魅惑的な衣装名と、彼女の属性を象徴するアクセサリーの組み合わせです 。,
ベアトリス,盾,プリズムシールド,プラチナシールド,王女の気品を損なわない、光輝く美しい装飾と高貴な金属感を選びました 。,
ベアトリス,その他,ロイヤルガーター/フェアリーブーツ/ホーリーアミュレット,エルフのマント/シルバーブーツ/サファイアの指輪,「王家の令嬢」という属性に相応しい、白と青を基調とした神聖な構成です 。,
マーティン,盾,ヘヴィシールド,アイアンシールド,鍛冶職人としての武骨さと、重厚な金属の質感がハンマーと調和します 。,
マーティン,その他,パワードプロテクター/テツゲタシューズ/パワーグローブ,かたびら（初期）/ヘヴィブーツ/安物の腕輪,職人魂を感じさせる「力」の象徴と、補足にある初期装備を活かした構成です 。,
セシル,盾,イエローシールド,安物の盾,探偵志望の好奇心旺盛なイメージを明るい黄色で、背伸び感を表実枠で表現しました 。,
セシル,その他,ジェネラルローブ/スニーキングブーツ/星のペンダント,シャツ/シークレットシューズ/集中のイヤリング,隠密行動（スニーキング）と、閃きを象徴する星のペンダントのセットです 。,
むらくも,盾,タートルシールド,ボーンシールド,旅館の主であり戦士でもある彼には、堅牢な亀の甲羅や野性味ある骨の盾が似合います 。,
むらくも,その他,ジェネラルローブ/ヘヴィブーツ/チャンピオンベルト,サラシ/ボーンブーツ/皮のベルト,大好物のベルトを主役に、豪快な和の戦士としてのシルエットを構築しました 。,
リュカ,盾,（装備不可：双剣）,（装備不可：双剣）,双剣使いのため盾は除外 。,
